id,observed_on_string,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_genus_name
83608582,2021/06/11 9:28 AM BST,2021-06-11,2021-06-11 08:28:00 UTC,25.1865043415,-80.8658717728,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
83873547,2021/06/17 10:34 AM CDT,2021-06-17,2021-06-17 15:34:00 UTC,25.1769684289,-80.9444890859,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
83873563,2021/06/17 10:34 AM CDT,2021-06-17,2021-06-17 15:34:00 UTC,25.0095240681,-80.835111147,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
84525050,Sat Jan 17 2015 07:00:00 GMT-0600 (CST),2015-01-17,2015-01-17 07:00:00 UTC,25.0566253462,-80.8527049186,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
84989638,2018/03/08 4:00 AM CET,2018-03-08,2018-03-08 03:00:00 UTC,25.1722356816,-80.9873995943,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
85195733,Sat Jun 26 2021 10:02:00 GMT-0400 (EDT),2021-06-26,2021-06-26 14:02:00 UTC,25.3365961903,-80.8897529972,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
85283505,Thu Jul 01 2021 12:52:03 GMT-0400 (EDT),2021-07-01,2021-07-01 16:52:03 UTC,25.3924083015,-80.9601563787,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
85973144,2021/07/04 11:06 AM EDT,2021-07-04,2021-07-04 15:06:00 UTC,25.4018793057,-80.6588745199,Sigmodon hispidus,Hispid Cotton Rat,Mammalia,44902,Rodentia,Sigmodon
86760784,Mon Jul 12 2021 13:56:02 GMT-0400 (EDT),2021-07-12,2021-07-12 17:56:02 UTC,25.1552259741,-80.8008969386,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
86760947,Mon Jul 12 2021 13:57:54 GMT-0400 (EDT),2021-07-12,2021-07-12 17:57:54 UTC,25.1711278017,-80.8809119583,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
86761175,Mon Jul 12 2021 14:04:14 GMT-0400 (EDT),2021-07-12,2021-07-12 18:04:14 UTC,25.1439059564,-80.8581162547,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
87267442,Sat Oct 03 2020 09:54:00 GMT-0400 (EDT),2020-10-03,2020-10-03 13:54:00 UTC,25.0609818629,-80.8480930445,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
88019904,Wed Jul 21 2021 11:16:18 GMT-0400 (EDT),2021-07-21,2021-07-21 15:16:18 UTC,25.090749533,-80.4367276702,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
88209620,2018-08-03 2:56:41 PM MST,2018-08-03,2018-08-03 20:56:41 UTC,25.0403214339,-80.8282079077,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
88769473,Fri May 28 2021 08:50:00 GMT-0500 (CDT),2021-05-28,2021-05-28 08:50:00 UTC,25.3798835207,-80.8988987971,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
89092187,2021/07/23 3:31 PM UTC,2021-07-23,2021-07-23 15:31:00 UTC,25.1409245192,-80.8504979503,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
89401598,2020/12/26 12:37 PM EST,2020-12-26,2020-12-26 17:37:00 UTC,25.1589839391,-80.995743056,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
90587702,2016/01/16 7:57 PM EST,2016-01-16,2016-01-17 00:57:00 UTC,25.0614685559,-80.9330112459,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
90804459,Wed Aug 11 2021 12:48:21 GMT -0400 (EDT),2021-08-11,2021-08-11 16:48:21 UTC,25.0391685149,-80.9559748504,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
90930042,2015-02-01,2015-02-01,,25.0923031,-80.8118429995,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
92596157,Sat Jan 31 2015 16:27:20 GMT-0500 (EST),2015-01-31,2015-01-31 21:27:20 UTC,25.0013741087,-80.8279957652,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
