id,observed_on_string,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_genus_name
19111056,Wed Dec 19 2018 19:53:47 GMT-0500 (EST),2018-12-19,2018-12-20 00:53:47 UTC,25.4005083333,-80.65825,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
19170006,2012/10/14 4:13 PM CEST,2012-10-14,2012-10-14 14:13:00 UTC,25.7296625067,-80.7583441655,Hyla squirella,Squirrel Treefrog,Amphibia,23873,Anura,Hyla
19244137,Wed Dec 26 2018 08:04:00 GMT-0500 (EST),2018-12-26,2018-12-26 13:04:00 UTC,25.37927,-80.6659616667,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
19279681,Fri Dec 28 2018 20:27:10 GMT-0500 (EST),2018-12-28,2018-12-29 01:27:10 UTC,25.1360400254,-80.9412562196,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
19280379,Fri Dec 28 2018 19:09:19 GMT-0500 (EST),2018-12-28,2018-12-29 00:09:19 UTC,25.7608650218,-80.7664923372,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
19280438,2018/12/28 6:00 AM EST,2018-12-28,2018-12-28 11:00:00 UTC,25.353672,-80.821121,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,60341,Anura,Lithobates
19299055,Sat Dec 29 2018 14:41:36 GMT-0500 (EST),2018-12-29,2018-12-29 19:41:36 UTC,25.3893184163,-80.6672920762,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
19391710,2019/01/02 1:30 AM EST,2019-01-02,2019-01-02 06:30:00 UTC,25.3875081955,-80.6827135648,Hyla squirella,Squirrel Treefrog,Amphibia,23873,Anura,Hyla
19391712,2019/01/02 1:32 AM EST,2019-01-02,2019-01-02 06:32:00 UTC,25.3875124361,-80.6826570131,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
19400092,2019/01/02 3:59 AM EST,2019-01-02,2019-01-02 08:59:00 UTC,25.389294,-80.689301,Hyla squirella,Squirrel Treefrog,Amphibia,23873,Anura,Hyla
19409751,2019/01/03 2:39 PM CST,2019-01-03,2019-01-03 20:39:00 UTC,25.755770984,-80.7654949375,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
19446269,Thu Mar 03 2016 07:20:13 GMT-0500 (EST),2016-03-03,2016-03-03 12:20:13 UTC,25.75973,-80.5988216667,Hyla cinerea,Green Treefrog,Amphibia,23969,Anura,Hyla
19458419,2019/01/05 7:45 PM EST,2019-01-05,2019-01-06 00:45:00 UTC,25.4005064085,-80.6552009575,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
19458420,2019/01/05 7:46 PM EST,2019-01-05,2019-01-06 00:46:00 UTC,25.4005064085,-80.6552009575,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
19458428,2019/01/05 9:31 PM EST,2019-01-05,2019-01-06 02:31:00 UTC,25.3823998,-80.6064611,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
19560703,2018/07/15 3:30 AM EDT,2018-07-15,2018-07-15 07:30:00 UTC,25.6953089369,-80.6713518112,Hyla squirella,Squirrel Treefrog,Amphibia,23873,Anura,Hyla
19560704,2018/07/15 3:18 AM EDT,2018-07-15,2018-07-15 07:18:00 UTC,25.6945836538,-80.6713188684,Acris gryllus,Southern Cricket Frog,Amphibia,24233,Anura,Acris
19560706,2018/07/15 3:03 AM -0400,2018-07-15,2018-07-15 06:03:00 UTC,25.6942515663,-80.6713401584,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
19625827,2019/01/12 9:50 PM EST,2019-01-12,2019-01-13 02:50:00 UTC,25.3985005702,-80.6595550497,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
19754941,Sat Jan 19 2019 18:39:11 GMT-0500 (EST),2019-01-19,2019-01-19 23:39:11 UTC,25.136725,-80.9484866667,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
19755856,Sat Jan 19 2019 18:54:59 GMT-0500 (EST),2019-01-19,2019-01-19 23:54:59 UTC,25.7447293322,-80.7665322861,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
19980174,2008/11/10,2008-11-10,,25.6154558426,-80.4309555428,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,60341,Anura,Lithobates
19980175,2008/11/10,2008-11-10,,25.6592650744,-80.5840953555,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
20155567,2019-01-29 1:20:28 PM EST,2019-01-29,2019-01-29 18:20:28 UTC,25.1364536285,-80.9393920898,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
20237124,2006/12/14 4:45 AM CST,2006-12-14,2006-12-14 10:45:00 UTC,25.3903433288,-80.7050423264,Rhinella marina,Cane Toad,Amphibia,553515,Anura,Rhinella
20237129,2006/12/14 6:14 AM CST,2006-12-14,2006-12-14 12:14:00 UTC,25.3903433288,-80.7050423264,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
20237130,2006/12/14 7:00 AM CST,2006-12-14,2006-12-14 13:00:00 UTC,25.3903433288,-80.7050423264,Hyla cinerea,Green Treefrog,Amphibia,23969,Anura,Hyla
20244357,2019-02-09 7:48:56 PM EST,2019-02-09,2019-02-10 00:48:56 UTC,25.2489376068,-80.7990264893,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
20244398,2019-02-09 7:50:40 PM EST,2019-02-09,2019-02-10 00:50:40 UTC,25.2512893677,-80.7984771729,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
20244461,2019-02-09 7:59:43 PM EST,2019-02-09,2019-02-10 00:59:43 UTC,25.2818889618,-80.7996749878,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
20870974,2019/02/23 3:18 PM EST,2019-02-23,2019-02-23 20:18:00 UTC,25.39549,-80.5830933333,Hyla cinerea,Green Treefrog,Amphibia,23969,Anura,Hyla
21088701,Fri Jan 04 2019 00:11:51 GMT-0500 (EST),2019-01-04,2019-01-04 05:11:51 UTC,25.3892895997,-80.6433186941,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
21114710,Sun Mar 10 2019 09:26:23 GMT-0400 (EDT),2019-03-10,2019-03-10 13:26:23 UTC,25.7431102199,-80.6730941457,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
21272054,2019-03-15 7:39:39 PM EDT,2019-03-15,2019-03-15 23:39:39 UTC,25.4005833126,-80.658296831,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
21390029,2018/09/01 ,2018-09-01,,25.4012945056,-80.6690440175,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
21390039,2018/09/01 ,2018-09-01,,25.4012463424,-80.6670437934,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
21435911,2019-03-19 7:56:31 PM EDT,2019-03-19,2019-03-19 23:56:31 UTC,25.1736183167,-80.9064254761,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
21436568,2019-03-19 8:51:52 PM EDT,2019-03-19,2019-03-20 00:51:52 UTC,25.1783294678,-80.901763916,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
21436609,2019-03-19 9:05:19 PM EDT,2019-03-19,2019-03-20 01:05:19 UTC,25.2573559037,-80.8010077849,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
21772517,Mon Mar 11 2019 20:33:33 GMT-0400 (EDT),2019-03-11,2019-03-12 00:33:33 UTC,25.3893466667,-80.6669083333,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
21772666,Mon Mar 11 2019 21:32:34 GMT-0400 (EDT),2019-03-11,2019-03-12 01:32:34 UTC,25.4343383333,-80.7253116667,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
21773597,Wed Mar 13 2019 20:11:49 GMT-0400 (EDT),2019-03-13,2019-03-14 00:11:49 UTC,25.38932,-80.6676783333,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
21784040,2019/03/15 10:10 PM EDT,2019-03-15,2019-03-16 02:10:00 UTC,25.5273782651,-80.7013505526,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,60341,Anura,Lithobates
21890617,2019/03/31 10:23 AM EDT,2019-03-31,2019-03-31 14:23:00 UTC,25.407263,-80.723366,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
21905540,2019-04-01 10:21:59 PM EDT,2019-04-01,2019-04-02 02:21:59 UTC,25.1426292332,-80.9240383655,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
21911550,2019-04-01 8:48:23 PM EDT,2019-04-01,2019-04-02 00:48:23 UTC,25.6654644012,-80.6530532837,Acris gryllus,Southern Cricket Frog,Amphibia,24233,Anura,Acris
22064263,Mon Apr 01 2019 21:30:23 GMT-0400 (EDT),2019-04-01,2019-04-02 01:30:23 UTC,25.38315,-80.60637,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
22181333,2019/04/05 7:43 PM EDT,2019-04-05,2019-04-05 23:43:00 UTC,25.3820431856,-80.6090721887,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
22194214,Mon Apr 08 2019 10:02:32 GMT-0400 (EDT),2019-04-08,2019-04-08 14:02:32 UTC,25.323155,-80.832925,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
22236988,2019-04-08 10:35:17 PM EDT,2019-04-08,2019-04-09 02:35:17 UTC,25.1439533234,-80.9225616455,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,60341,Anura,Lithobates
22261814,Tue Mar 19 2019 19:34:03 GMT-0500 (CDT),2019-03-19,2019-03-19 19:34:03 UTC,25.3367416667,-80.8071366667,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
22422773,2019/01/19,2019-01-19,,25.3990218907,-80.6572427049,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
22422775,2019/01/19,2019-01-19,,25.3996835388,-80.6589856373,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,60341,Anura,Lithobates
23523210,2019/04/27 9:30 AM EDT,2019-04-27,2019-04-27 13:30:00 UTC,25.7048342598,-80.7649588922,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
23854966,2019/04/27 8:10 PM EDT,2019-04-27,2019-04-28 00:10:00 UTC,25.313575,-80.7982916667,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
24099926,2019/04/27 8:51 PM EDT,2019-04-27,2019-04-28 00:51:00 UTC,25.3687,-80.817825,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,60341,Anura,Lithobates
24110622,2019/04/27 11:07 PM EDT,2019-04-27,2019-04-28 03:07:00 UTC,25.3819966667,-80.60843,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
24175678,Mon Apr 29 2019 22:16:41 GMT-0400 (EDT),2019-04-29,2019-04-30 02:16:41 UTC,25.3889,-80.6831666667,Hyla squirella,Squirrel Treefrog,Amphibia,23873,Anura,Hyla
24178525,2019/04/29 9:18 PM EDT,2019-04-29,2019-04-30 01:18:00 UTC,25.3901841496,-80.6893678092,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
24178555,2019/04/29 9:46 PM EDT,2019-04-29,2019-04-30 01:46:00 UTC,25.3875033997,-80.6827123057,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
24206633,2019/04/29 7:20 PM HST,2019-04-29,2019-04-30 05:20:00 UTC,25.3938604067,-80.6896122687,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
