"SITE_NAME","DATE","TP","TN"
"SRS3",2008-02-28,32,116
"SRS4",2008-03-18,76,1009
"SRS5",2008-03-18,85,994
"SRS6",2008-03-18,48,140
"SRS1d",2008-03-31,18,146
"SRS2",2008-03-31,12,1297
"SRS3",2008-03-31,58,90
"SRS1d",2008-04-10,11,1332
"SRS2",2008-04-10,6,1257
"SRS3",2008-04-10,30,1300
"SRS4",2008-04-17,48,656
"SRS5",2008-04-17,37,745
"SRS6",2008-04-17,81,434
"SRS1d",2008-05-20,15,63
"SRS2",2008-05-20,14,56
"SRS3",2008-05-20,63,1288
"SRS4",2008-05-27,59,594
"SRS5",2008-05-27,66,410
"SRS6",2008-05-27,82,210
"SRS4",2008-06-12,57,520
"SRS5",2008-06-12,73,370
"SRS6",2008-06-12,78,197
"SRS1d",2008-06-24,30,306
"SRS2",2008-06-24,46,612
"SRS3",2008-06-24,66,876
"SRS4",2008-07-02,67,705
"SRS5",2008-07-02,143,660
"SRS6",2008-07-02,70,393
"SRS1d",2008-07-09,22,391
"SRS2",2008-07-09,28,653
"SRS3",2008-07-09,34,482
"SRS4",2008-08-04,62,674
"SRS5",2008-08-04,34,519
"SRS6",2008-08-04,73,119
"SRS1d",2008-08-06,40,485
"SRS2",2008-08-06,31,219
"SRS3",2008-08-06,36,234
"SRS1d",2008-09-15,56,315
"SRS2",2008-09-15,21,327
"SRS3",2008-09-15,32,488
"SRS4",2008-09-25,51,121
"SRS5",2008-09-25,90,214
"SRS6",2008-09-25,98,284
"SRS1d",2008-10-06,13,125
"SRS2",2008-10-06,20,186
"SRS3",2008-10-06,10,118
"SRS4",2008-10-21,16,221
"SRS5",2008-10-21,60,120
"SRS6",2008-10-21,35,112
"SRS1d",2008-11-03,5,170
"SRS2",2008-11-03,9,421
"SRS3",2008-11-03,8,386
"SRS4",2008-11-17,15,266
"SRS5",2008-11-17,22,200
"SRS6",2008-11-17,27,156
"SRS1d",2008-12-02,11,77
"SRS2",2008-12-02,12,1
"SRS3",2008-12-02,24,263
"SRS4",2008-12-03,10,276
"SRS5",2008-12-03,83,1197
"SRS6",2008-12-03,21,215
"SRS1d",2009-01-05,13,667
"SRS2",2009-01-05,12,445
"SRS3",2009-01-05,12,298
"SRS4",2009-01-07,21,541
"SRS5",2009-01-07,35,314
"SRS6",2009-01-07,61,201
"SRS1d",2009-02-02,31,109
"SRS2",2009-02-02,29,15
"SRS3",2009-02-02,46,1324
"SRS4",2009-02-04,32,1193
"SRS5",2009-02-04,33,84
"SRS6",2009-02-04,50,1001
"SRS1d",2009-03-02,28,81
"SRS2",2009-03-02,22,105
"SRS3",2009-03-02,26,1356
"SRS4",2009-03-04,32,1348
"SRS5",2009-03-04,48,1022
"SRS6",2009-03-04,78,471
"SRS1d",2009-04-01,45,108
"SRS2",2009-04-01,33,149
"SRS3",2009-04-01,83,87
"SRS4",2009-04-06,60,20
"SRS5",2009-04-06,69,1298
"SRS6",2009-04-06,84,787
"SRS4",2009-05-06,51,948
"SRS5",2009-05-06,45,689
"SRS6",2009-05-06,69,32
"SRS3",2009-05-12,45,806
"SRS4",2009-06-03,34,1061
"SRS5",2009-06-03,36,133
"SRS6",2009-06-03,30,343
"SRS1d",2009-06-29,16,58
"SRS2",2009-06-29,19,1392
"SRS3",2009-06-29,30,1139
"SRS4",2009-07-02,26,1162
"SRS5",2009-07-02,43,1211
"SRS6",2009-07-02,75,785
"SRS1d",2009-07-16,12,1330
"SRS2",2009-07-16,15,101
"SRS3",2009-07-16,15,1100
"SRS1d",2009-08-10,28,964
"SRS2",2009-08-10,23,761
"SRS3",2009-08-10,16,497
"SRS4",2009-08-12,1,525
"SRS5",2009-08-12,153,480
"SRS6",2009-08-12,97,206
"SRS4",2009-09-02,32,539
"SRS5",2009-09-02,40,680
"SRS6",2009-09-02,56,371
"SRS1d",2009-09-09,27,698
"SRS2",2009-09-09,22,926
"SRS3",2009-09-09,17,987
"SRS1d",2009-10-05,2,145
"SRS2",2009-10-05,11,322
"SRS3",2009-10-05,15,1153
"SRS4",2009-10-12,112,89
"SRS5",2009-10-12,60,3
"SRS6",2009-10-12,57,2
"SRS4",2009-11-02,32,1
"SRS5",2009-11-02,52,1170
"SRS6",2009-11-02,82,871
"SRS1d",2009-11-09,22,1161
"SRS2",2009-11-09,27,1350
"SRS3",2009-11-09,35,1393
"SRS1d",2009-12-07,7,1362
"SRS2",2009-12-07,19,85
"SRS3",2009-12-07,10,72
"SRS4",2009-12-09,11,1394
"SRS5",2009-12-09,89,25
"SRS6",2009-12-09,52,1296
"SRS4",2010-01-11,16,8
"SRS5",2010-01-11,24,1335
"SRS6",2010-01-11,33,52
"SRS1d",2010-01-14,13,99
"SRS2",2010-01-14,15,230
"SRS3",2010-01-14,13,158
"SRS1d",2010-02-01,41,1090
"SRS2",2010-02-01,54,130
"SRS3",2010-02-01,44,82
"SRS4",2010-02-03,55,1333
"SRS5",2010-02-03,67,1087
"SRS6",2010-02-03,132,596
"SRS4",2010-03-03,29,1374
"SRS5",2010-03-03,43,1104
"SRS6",2010-03-03,42,954
"SRS1d",2010-03-10,13,64
"SRS2",2010-03-10,20,1
"SRS3",2010-03-10,21,159
"SRS1d",2010-04-07,11,94
"SRS2",2010-04-07,20,135
"SRS3",2010-04-07,27,157
"SRS4",2010-04-21,45,14
"SRS5",2010-04-21,61,1190
"SRS6",2010-04-21,86,874
"SRS1d",2010-05-05,25,1265
"SRS2",2010-05-05,18,1385
"SRS3",2010-05-05,33,17
"SRS4",2010-05-24,63,1371
"SRS5",2010-05-24,66,738
"SRS6",2010-05-24,84,718
"SRS4",2010-06-14,58,1321
"SRS5",2010-06-14,49,1013
"SRS6",2010-06-14,70,634
"SRS1d",2010-06-16,24,1308
"SRS2",2010-06-16,17,98
"SRS3",2010-06-16,25,80
"SRS1d",2010-07-07,13,797
"SRS2",2010-07-07,18,1028
"SRS3",2010-07-07,25,1045
"SRS4",2010-07-19,29,866
"SRS5",2010-07-19,69,685
"SRS6",2010-07-19,90,385
"SRS1d",2010-08-09,14,423
"SRS2",2010-08-09,21,530
"SRS3",2010-08-09,33,590
"SRS4",2010-08-11,23,944
"SRS5",2010-08-11,29,886
"SRS6",2010-08-11,45,661
"SRS1d",2010-09-07,10,1051
"SRS2",2010-09-07,16,61
"SRS3",2010-09-07,16,1041
"SRS4",2010-09-09,26,945
"SRS5",2010-09-09,34,969
"SRS6",2010-09-09,36,813
"SRS1d",2010-10-04,22,1204
"SRS2",2010-10-04,28,1323
"SRS3",2010-10-04,25,1224
"SRS4",2010-10-06,19,1196
"SRS5",2010-10-06,22,1140
"SRS6",2010-10-06,41,1119
"SRS1d",2010-11-01,18,355
"SRS2",2010-11-01,8,1074
"SRS3",2010-11-01,8,786
"SRS4",2010-11-22,17,614
"SRS5",2010-11-22,26,895
"SRS6",2010-11-22,36,390
"SRS1d",2010-12-01,17,868
"SRS2",2010-12-01,10,1158
"SRS3",2010-12-01,14,910
"SRS4",2010-12-13,20,924
"SRS5",2010-12-13,39,505
"SRS6",2010-12-13,42,342
"SRS1d",2011-01-04,22,827
"SRS2",2011-01-04,24,1200
"SRS3",2011-01-04,26,789
"SRS4",2011-01-11,41,956
"SRS5",2011-01-11,58,792
"SRS6",2011-01-11,148,508
"SRS1d",2011-02-02,19,1389
"SRS2",2011-02-02,21,16
"SRS3",2011-02-02,27,1364
"SRS4",2011-02-08,33,1274
"SRS5",2011-02-08,49,1097
"SRS6",2011-02-08,44,652
"SRS1d",2011-03-01,28,28
"SRS2",2011-03-01,28,93
"SRS3",2011-03-01,30,41
"SRS4",2011-03-07,32,1169
"SRS5",2011-03-07,89,719
"SRS6",2011-03-07,40,344
"SRS3",2011-04-12,98,1366
"SRS4",2011-04-13,43,1096
"SRS5",2011-04-13,36,724
"SRS6",2011-04-13,50,1212
"SRS4",2011-05-04,31,597
"SRS5",2011-05-04,54,846
"SRS6",2011-05-04,51,678
"SRS3",2011-05-12,76,1367
"SRS4",2011-06-01,34,1143
"SRS5",2011-06-01,38,1216
"SRS6",2011-06-01,85,998
"SRS3",2011-06-14,107,1318
"SRS4",2011-07-06,37,1054
"SRS5",2011-07-06,54,772
"SRS6",2011-07-06,55,514
"SRS2",2011-07-13,34,47
"SRS3",2011-07-13,47,39
"SRS4",2011-08-04,28,1325
"SRS5",2011-08-04,49,1071
"SRS6",2011-08-04,38,665
"SRS1d",2011-08-05,15,42
"SRS2",2011-08-05,10,1292
"SRS3",2011-08-05,18,1310
"SRS4",2011-09-01,24,1111
"SRS5",2011-09-01,45,970
"SRS6",2011-09-01,71,681
"SRS1d",2011-09-07,14,1269
"SRS2",2011-09-07,12,1191
"SRS3",2011-09-07,15,922
"SRS4",2011-10-06,20,1004
"SRS5",2011-10-06,49,1113
"SRS6",2011-10-06,52,962
"SRS1d",2011-10-12,18,1336
"SRS2",2011-10-12,13,1228
"SRS3",2011-10-12,12,977
"SRS4",2011-11-01,29,464
"SRS5",2011-11-01,37,771
"SRS6",2011-11-01,54,842
"SRS1d",2011-11-07,24,936
"SRS2",2011-11-07,14,605
"SRS3",2011-11-07,21,416
"SRS4",2011-12-01,25,848
"SRS5",2011-12-01,38,917
"SRS6",2011-12-01,41,630
"SRS1d",2011-12-14,33,1220
"SRS2",2011-12-14,36,1258
"SRS3",2011-12-14,21,1027
"SRS4",2012-01-05,26,1174
"SRS5",2012-01-05,39,1188
"SRS6",2012-01-05,40,894
"SRS1d",2012-01-10,19,1282
"SRS2",2012-01-10,16,1276
"SRS3",2012-01-10,22,1203
"SRS1d",2012-02-01,36,1112
"SRS3",2012-02-01,10,963
"SRS2",2012-02-15,22,1229
"SRS4",2012-02-15,34,1246
"SRS5",2012-02-15,52,1178
"SRS6",2012-02-15,46,367
"SRS2",2012-03-01,1,1380
"SRS3",2012-03-01,1,1306
"SRS1d",2012-03-02,1,27
"SRS4",2012-03-06,1,1252
"SRS5",2012-03-06,24,1185
"SRS6",2012-03-06,32,933
"SRS4",2012-04-10,46,959
"SRS5",2012-04-10,46,453
"SRS6",2012-04-10,52,255
"SRS2",2012-04-12,38,115
"SRS3",2012-04-12,103,7
"SRS1d",2012-05-07,31,21
"SRS2",2012-05-07,21,1303
"SRS3",2012-05-07,27,1082
"SRS4",2012-05-08,42,21
"SRS5",2012-05-08,46,577
"SRS6",2012-05-08,58,321
"SRS1d",2012-06-19,22,1208
"SRS2",2012-06-19,13,1121
"SRS3",2012-06-19,17,816
"SRS4",2012-06-25,52,947
"SRS5",2012-06-25,53,650
"SRS6",2012-06-25,78,776
"SRS4",2012-07-10,27,1033
"SRS5",2012-07-10,44,1106
"SRS6",2012-07-10,57,1025
"SRS1d",2012-07-17,10,983
"SRS2",2012-07-17,12,780
"SRS3",2012-07-17,14,916
"SRS4",2012-08-08,25,934
"SRS5",2012-08-08,46,904
"SRS6",2012-08-08,57,722
"SRS1d",2012-08-14,21,1244
"SRS2",2012-08-14,15,1326
"SRS3",2012-08-14,14,906
"SRS4",2012-09-10,24,644
"SRS5",2012-09-10,50,870
"SRS6",2012-09-10,65,465
"SRS1d",2012-09-14,18,1241
"SRS2",2012-09-14,14,53
"SRS3",2012-09-14,15,932
"SRS1d",2012-10-10,17,571
"SRS2",2012-10-10,14,937
"SRS3",2012-10-10,15,341
"SRS4",2012-10-17,34,257
"SRS5",2012-10-17,124,459
